,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 17:31:11.772,-8.24572143555,5.01348266602,-0.645190429688,0,0,1,0,0,0,-33.5216972351,6.77261322021,-34.9145751953,101.4859,6047.0,4836.354
2018-06-07 17:31:12.022,-8.47162099985,5.0620504526,-0.875995342548,0,0,1,0,0,0,-33.8494189336,9.45860965435,-32.9385023851,101.485284615,6047.0,4836.354
2018-06-07 17:31:12.272,-8.45470581055,4.84462280273,-0.660522460938,0,0,1,0,0,0,-34.326940155,10.2870565796,-29.9863378906,101.4843,6047.96,4836.85368
2018-06-07 17:31:12.522,-8.74733276367,5.29268188477,-0.954962158203,0,0,1,0,0,0,-35.174249115,9.96249755859,-27.5057885742,101.4843,6049.0,4837.395
2018-06-07 17:31:12.772,-8.67286376953,4.54282226563,-0.169085693359,0,0,1,0,0,0,-36.6696162414,9.79866729736,-25.3438989258,101.4843,6049.0,4837.395
2018-06-07 17:31:13.022,-8.37656860351,5.17620849609,-0.250891113281,0,0,1,0,0,0,-37.5627674866,10.0727468872,-23.3772265625,101.48304,6049.0,4837.395
2018-06-07 17:31:13.272,-8.46146240234,5.5234375,-0.277758789062,0,0,1,0,0,0,-37.8894367981,9.52081115723,-22.1620776367,101.4822,6049.0,4837.395
2018-06-07 17:31:13.522,-8.16749267578,6.04285888672,-0.355438232422,0,0,1,0,0,0,-38.1099440002,9.04989898682,-21.1967407227,101.4822,6049.0,4837.395
2018-06-07 17:31:13.772,-8.60877685547,5.53353881836,-0.35498046875,0,0,1,0,0,0,-37.9657270813,6.32326812744,-19.1443359375,101.4822,6049.0,4837.395
2018-06-07 17:31:14.022,-8.0407409668,6.17030029297,-0.479272460938,0,0,1,0,0,0,-38.3028196716,4.01658599854,-18.1072753906,101.479996,6049.0,4837.395
2018-06-07 17:31:14.272,-8.59884408804,4.83174837553,-0.142376239483,0,0,1,0,0,0,-39.4735439007,2.72652523334,-15.2970369779,101.4793,6049.0,4837.395
2018-06-07 17:31:14.522,-8.25295410156,5.43612670898,-0.270886230469,0,0,1,0,0,0,-40.3552824402,2.09454589844,-13.9362304688,101.4793,6049.0,4837.395
2018-06-07 17:31:14.772,-8.29840698242,5.53728027344,-0.10615234375,0,0,1,0,0,0,-41.0539176941,2.16729095459,-13.4802539062,101.4793,6049.0,4837.395
