,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 16:14:05.772,-0.99574584960884804,-3.5591796875004,-8.4945678710924,1,0,0,0,0,0,15.1337319183,-4.17293640137,-45.9599267578,101.4675,176.0,132.2471
2018-06-07 16:14:06.022,0.89924494425517076,-4.7429339090983333,-8.5759099324562502,1,0,0,0,0,0,16.5320023696,-3.22969977061,-45.9153493245,101.4675,176.0,132.2471
2018-06-07 16:14:06.272,2.3822549673230773,-3.7536679781403848,-10.041104830229616,1,0,0,0,0,0,18.0684587039,-4.12674302321,-45.7250319261,101.467696154,176.0,132.2471
2018-06-07 16:14:06.522,1.5562500000004003,-3.7258422851559998,-7.906652832032,1,0,0,0,0,0,16.5637161255,-4.97521514893,-46.2079663086,101.4678,176.0,132.2471
2018-06-07 16:14:06.772,0.67399291992229526,-4.6614990234376004,-9.8506347656195992,1,0,0,0,0,0,14.3896269989,-4.99260498047,-47.237409668,101.4678,176.0,132.2471
2018-06-07 16:14:07.022,-0.75117187500000004,-3.6044860839844,-9.3857666015579984,1,0,0,0,0,0,13.8595857239,-6.77855194092,-47.2208398437,101.4678,176.0,132.2471
2018-06-07 16:14:07.272,-0.68508300781228004,-4.5128662109387996,-7.7427185058588002,1,0,0,0,0,0,14.446524353,-8.24802276612,-46.8133032227,101.468136,176.0,132.2471
2018-06-07 16:14:07.522,0.74592590332007691,-3.7812159611634617,-10.609647310700002,1,0,0,0,0,0,15.408471621,-3.71348278339,-47.3149461013,101.4682,176.0,132.2471
2018-06-07 16:14:07.772,1.7076171875002402,-1.8169128417974003,-8.1957336425767995,1,0,0,0,0,0,18.9141835785,-3.26149902344,-46.1784570313,101.4682,176.0,132.2471
2018-06-07 16:14:08.022,1.0971252441406079,-3.0303894042963999,-9.4091979980460003,1,0,0,0,0,0,20.897904892,-6.07050109863,-45.1386279297,101.468208,176.12,132.349168
2018-06-07 16:14:08.272,-1.101175944010375,-3.0939483642576668,-12.030213673910831,1,0,0,0,0,0,18.5863345464,-3.28210322062,-46.4305674235,101.4683,179.0,134.7988
2018-06-07 16:14:08.522,0.94777033879226913,-1.6508953387921155,-8.501129150391538,1,0,0,0,0,0,19.7082240765,-8.10828663752,-44.8989609938,101.4683,179.0,134.7988
2018-06-07 16:14:08.772,0.82272949218689517,-2.6051086425772003,-10.116864013676,1,0,0,0,0,0,23.332355423,-11.7944476318,-42.2515405273,101.4683,179.0,134.7988
2018-06-07 16:14:09.022,0.88482666015603284,-2.6059082031252001,-9.4239562988264005,1,0,0,0,0,0,24.1173155212,-14.4990939331,-40.827902832,101.4683,179.0,134.7988
2018-06-07 16:14:09.272,1.2405883789057999,-2.2930236816412002,-10.0168029785196,1,0,0,0,0,0,24.4132676697,-13.5506307983,-41.0615942383,101.4683,179.0,134.7988
2018-06-07 16:14:09.522,1.508056640625604,-2.1569396972655999,-9.0699279785131992,1,0,0,0,0,0,24.4451668549,-13.4004891968,-40.8182055664,101.4683,179.0,134.7988
2018-06-07 16:14:09.772,0.32751464843753397,-2.6615783691408001,-9.868237304686799,1,0,0,0,0,0,23.4242055511,-13.7164996338,-41.3087890625,101.4683,179.0,134.7988
2018-06-07 16:14:10.022,0.56882418118990463,-2.5204819899346158,-9.7011683537450004,1,0,0,0,0,0,22.7353553038,-12.6500258813,-42.0456355168,101.468384615,179.0,134.7988
