,device_type,pressure,sensor_type,timestamps
278,smartphone,101.47200000000001,pressure,1.5281287519998848e+18
279,smartphone,101.4723,pressure,1.528128752999886e+18
280,smartphone,101.4745,pressure,1.528128753999892e+18
281,smartphone,101.4758,pressure,1.5281287549998979e+18
282,smartphone,101.4771,pressure,1.528128755999903e+18
283,smartphone,101.4781,pressure,1.528128756999908e+18
284,smartphone,101.4781,pressure,1.528128757999917e+18
285,smartphone,101.4773,pressure,1.528128758999925e+18
286,smartphone,101.4761,pressure,1.52812875999993e+18
287,smartphone,101.4734,pressure,1.5281287609999311e+18
288,smartphone,101.4734,pressure,1.5281287619999357e+18
289,smartphone,101.4745,pressure,1.528128762999938e+18
290,smartphone,101.4748,pressure,1.528128763999943e+18
291,smartphone,101.4748,pressure,1.528128764999947e+18
292,smartphone,101.47399999999999,pressure,1.5281287659999508e+18
293,smartphone,101.4739,pressure,1.5281287669999552e+18
294,smartphone,101.4739,pressure,1.528128767999958e+18
295,smartphone,101.4751,pressure,1.5281287689999619e+18
296,smartphone,101.4759,pressure,1.528128769999965e+18
297,smartphone,101.4763,pressure,1.528128770999967e+18
298,smartphone,101.4763,pressure,1.528128771999969e+18
299,smartphone,101.4764,pressure,1.528128772999972e+18
300,smartphone,101.4765,pressure,1.528128773999974e+18
301,smartphone,101.4765,pressure,1.528128774999976e+18
302,smartphone,101.4765,pressure,1.5281287759999777e+18
303,smartphone,101.4768,pressure,1.528128776999979e+18
304,smartphone,101.4764,pressure,1.52812877799998e+18
305,smartphone,101.4762,pressure,1.528128778999981e+18
306,smartphone,101.4762,pressure,1.528128779999983e+18
307,smartphone,101.4762,pressure,1.528128780999983e+18
308,smartphone,101.4759,pressure,1.528128781999984e+18
309,smartphone,101.4756,pressure,1.528128782999985e+18
310,smartphone,101.4755,pressure,1.528128783999985e+18
311,smartphone,101.4741,pressure,1.528128784999986e+18
312,smartphone,101.4733,pressure,1.528128785999987e+18
313,smartphone,101.4715,pressure,1.528128785999987e+18
314,smartphone,101.4708,pressure,1.528128787999987e+18
315,smartphone,101.4706,pressure,1.528128787999987e+18
316,smartphone,101.4702,pressure,1.528128789999986e+18
317,smartphone,101.4706,pressure,1.528128789999986e+18
318,smartphone,101.4708,pressure,1.528128791999986e+18
319,smartphone,101.4708,pressure,1.528128791999986e+18
320,smartphone,101.4707,pressure,1.528128793999986e+18
321,smartphone,101.4707,pressure,1.528128793999986e+18
322,smartphone,101.4708,pressure,1.528128795999985e+18
323,smartphone,101.4708,pressure,1.528128796999985e+18
