,device_type,distance,sensor_type,steps,timestamps
280,smartphone,511.14,pedometer,731,1.528128753999892e+18
281,smartphone,511.14,pedometer,731,1.5281287549998979e+18
282,smartphone,511.14,pedometer,731,1.528128755999903e+18
283,smartphone,513.34,pedometer,735,1.528128756999908e+18
284,smartphone,513.34,pedometer,735,1.528128757999917e+18
285,smartphone,518.2,pedometer,741,1.528128758999925e+18
286,smartphone,518.2,pedometer,741,1.52812875999993e+18
287,smartphone,518.2,pedometer,741,1.5281287609999311e+18
288,smartphone,518.2,pedometer,741,1.5281287619999357e+18
289,smartphone,518.2,pedometer,741,1.528128762999938e+18
290,smartphone,521.44,pedometer,745,1.528128763999943e+18
291,smartphone,521.44,pedometer,745,1.528128764999947e+18
292,smartphone,521.44,pedometer,745,1.5281287659999508e+18
293,smartphone,524.86,pedometer,751,1.5281287669999552e+18
294,smartphone,524.86,pedometer,751,1.528128767999958e+18
295,smartphone,528.1,pedometer,755,1.5281287689999619e+18
296,smartphone,528.1,pedometer,755,1.528128769999965e+18
297,smartphone,528.1,pedometer,755,1.528128770999967e+18
298,smartphone,531.46,pedometer,761,1.528128771999969e+18
299,smartphone,531.46,pedometer,761,1.528128772999972e+18
300,smartphone,531.46,pedometer,761,1.528128773999974e+18
301,smartphone,534.76,pedometer,767,1.528128774999976e+18
302,smartphone,534.76,pedometer,767,1.5281287759999777e+18
303,smartphone,537.04,pedometer,771,1.528128776999979e+18
304,smartphone,537.04,pedometer,771,1.52812877799998e+18
305,smartphone,537.04,pedometer,771,1.528128778999981e+18
306,smartphone,540.52,pedometer,777,1.528128779999983e+18
307,smartphone,540.52,pedometer,777,1.528128780999983e+18
308,smartphone,543.82,pedometer,783,1.528128781999984e+18
309,smartphone,543.82,pedometer,783,1.528128782999985e+18
310,smartphone,543.82,pedometer,783,1.528128783999985e+18
311,smartphone,548.68,pedometer,789,1.528128784999986e+18
312,smartphone,548.68,pedometer,789,1.528128785999987e+18
313,smartphone,551.0,pedometer,793,1.528128785999987e+18
314,smartphone,551.0,pedometer,793,1.528128787999987e+18
315,smartphone,551.0,pedometer,793,1.528128787999987e+18
316,smartphone,555.86,pedometer,799,1.528128789999986e+18
317,smartphone,555.86,pedometer,799,1.528128789999986e+18
318,smartphone,555.86,pedometer,799,1.528128791999986e+18
319,smartphone,559.16,pedometer,805,1.528128791999986e+18
320,smartphone,559.16,pedometer,805,1.528128793999986e+18
321,smartphone,562.58,pedometer,811,1.528128793999986e+18
322,smartphone,562.58,pedometer,811,1.528128795999985e+18
323,smartphone,562.58,pedometer,811,1.528128796999985e+18
324,smartphone,566.24,pedometer,817,1.528128796999985e+18
325,smartphone,566.24,pedometer,817,1.528128798999983e+18
326,smartphone,571.58,pedometer,823,1.528128798999983e+18
327,smartphone,571.58,pedometer,823,1.528128800999983e+18
328,smartphone,571.58,pedometer,823,1.528128800999983e+18
329,smartphone,576.92,pedometer,829,1.528128802999982e+18
330,smartphone,576.92,pedometer,829,1.528128802999982e+18
331,smartphone,582.32,pedometer,835,1.52812880499998e+18
332,smartphone,582.32,pedometer,835,1.52812880499998e+18
333,smartphone,582.32,pedometer,835,1.5281288069999777e+18
334,smartphone,587.78,pedometer,841,1.5281288079999777e+18
335,smartphone,587.78,pedometer,841,1.5281288079999777e+18
336,smartphone,594.98,pedometer,849,1.528128809999977e+18
337,smartphone,594.98,pedometer,849,1.528128809999977e+18
338,smartphone,594.98,pedometer,849,1.528128811999974e+18
339,smartphone,596.12,pedometer,851,1.528128811999974e+18
340,smartphone,596.12,pedometer,851,1.528128813999972e+18
341,smartphone,596.12,pedometer,851,1.528128814999972e+18
342,smartphone,596.12,pedometer,851,1.528128814999972e+18
343,smartphone,596.12,pedometer,851,1.52812881699997e+18
344,smartphone,596.12,pedometer,851,1.52812881699997e+18
345,smartphone,596.12,pedometer,851,1.528128818999969e+18
346,smartphone,596.12,pedometer,851,1.528128818999969e+18
347,smartphone,596.12,pedometer,851,1.528128820999967e+18
348,smartphone,596.12,pedometer,851,1.528128820999967e+18
349,smartphone,596.12,pedometer,851,1.528128822999965e+18
350,smartphone,596.12,pedometer,851,1.528128822999965e+18
351,smartphone,596.12,pedometer,851,1.5281288249999631e+18
352,smartphone,596.12,pedometer,851,1.5281288249999631e+18
353,smartphone,596.12,pedometer,851,1.52812882699996e+18
354,smartphone,596.12,pedometer,851,1.52812882799996e+18
355,smartphone,596.12,pedometer,851,1.52812882799996e+18
356,smartphone,596.12,pedometer,851,1.528128829999957e+18
357,smartphone,606.74,pedometer,869,1.528128829999957e+18
358,smartphone,606.74,pedometer,869,1.5281288319999552e+18
359,smartphone,609.06,pedometer,873,1.5281288319999552e+18
360,smartphone,609.06,pedometer,873,1.5281288339999532e+18
361,smartphone,609.06,pedometer,873,1.5281288339999532e+18
362,smartphone,609.06,pedometer,873,1.5281288359999508e+18
363,smartphone,609.06,pedometer,873,1.5281288359999508e+18
364,smartphone,609.06,pedometer,873,1.528128837999949e+18
365,smartphone,611.26,pedometer,877,1.528128837999949e+18
366,smartphone,611.26,pedometer,877,1.528128839999947e+18
367,smartphone,612.88,pedometer,879,1.528128839999947e+18
368,smartphone,612.88,pedometer,879,1.528128841999945e+18
369,smartphone,612.88,pedometer,879,1.528128841999945e+18
370,smartphone,615.16,pedometer,883,1.528128843999943e+18
371,smartphone,615.16,pedometer,883,1.528128843999943e+18
372,smartphone,619.9,pedometer,889,1.52812884599994e+18
373,smartphone,619.9,pedometer,889,1.52812884599994e+18
374,smartphone,619.9,pedometer,889,1.528128847999938e+18
375,smartphone,622.14,pedometer,893,1.528128847999938e+18
376,smartphone,622.14,pedometer,893,1.5281288499999357e+18
377,smartphone,625.62,pedometer,899,1.5281288499999357e+18
378,smartphone,625.62,pedometer,899,1.528128851999934e+18
379,smartphone,625.62,pedometer,899,1.528128851999934e+18
380,smartphone,627.86,pedometer,903,1.5281288539999311e+18
381,smartphone,627.86,pedometer,903,1.5281288539999311e+18
382,smartphone,627.86,pedometer,903,1.5281288559999288e+18
383,smartphone,631.22,pedometer,909,1.5281288559999288e+18
384,smartphone,631.22,pedometer,909,1.528128857999928e+18
385,smartphone,634.5,pedometer,913,1.528128857999928e+18
386,smartphone,634.5,pedometer,913,1.528128859999925e+18
387,smartphone,634.5,pedometer,913,1.528128859999925e+18
388,smartphone,639.36,pedometer,919,1.528128861999923e+18
389,smartphone,639.36,pedometer,919,1.528128861999923e+18
390,smartphone,640.46,pedometer,921,1.5281288639999199e+18
391,smartphone,640.46,pedometer,921,1.5281288639999199e+18
392,smartphone,640.46,pedometer,921,1.5281288659999188e+18
393,smartphone,640.46,pedometer,921,1.5281288659999188e+18
394,smartphone,640.46,pedometer,921,1.528128867999917e+18
395,smartphone,640.46,pedometer,921,1.528128867999917e+18
396,smartphone,640.46,pedometer,921,1.5281288699999142e+18
397,smartphone,640.46,pedometer,921,1.5281288699999142e+18
398,smartphone,640.46,pedometer,921,1.528128871999912e+18
399,smartphone,640.46,pedometer,921,1.528128871999912e+18
400,smartphone,651.66,pedometer,941,1.5281288739999089e+18
401,smartphone,651.66,pedometer,941,1.5281288739999089e+18
402,smartphone,651.66,pedometer,941,1.528128875999907e+18
403,smartphone,654.02,pedometer,945,1.528128875999907e+18
404,smartphone,654.02,pedometer,945,1.528128877999906e+18
405,smartphone,654.02,pedometer,945,1.528128877999906e+18
406,smartphone,654.02,pedometer,945,1.528128879999903e+18
407,smartphone,654.02,pedometer,945,1.528128879999903e+18
408,smartphone,657.62,pedometer,951,1.5281288819999012e+18
409,smartphone,657.62,pedometer,951,1.5281288819999012e+18
410,smartphone,657.62,pedometer,951,1.5281288839998979e+18
411,smartphone,659.98,pedometer,955,1.5281288839998979e+18
412,smartphone,659.98,pedometer,955,1.528128885999896e+18
413,smartphone,663.46,pedometer,961,1.528128885999896e+18
414,smartphone,663.46,pedometer,961,1.528128887999893e+18
415,smartphone,663.46,pedometer,961,1.528128888999894e+18
416,smartphone,667.0,pedometer,967,1.528128888999894e+18
417,smartphone,667.0,pedometer,967,1.528128890999891e+18
418,smartphone,669.4,pedometer,971,1.528128890999891e+18
419,smartphone,669.4,pedometer,971,1.5281288929998892e+18
420,smartphone,669.4,pedometer,971,1.5281288929998892e+18
421,smartphone,672.88,pedometer,977,1.528128894999886e+18
422,smartphone,672.88,pedometer,977,1.528128894999886e+18
423,smartphone,675.24,pedometer,981,1.5281288969998838e+18
424,smartphone,675.24,pedometer,981,1.5281288969998838e+18
425,smartphone,675.24,pedometer,981,1.528128898999882e+18
426,smartphone,676.4,pedometer,983,1.528128898999882e+18
427,smartphone,676.4,pedometer,983,1.528128900999879e+18
428,smartphone,676.4,pedometer,983,1.528128901999879e+18
429,smartphone,678.6,pedometer,987,1.528128901999879e+18
430,smartphone,678.6,pedometer,987,1.5281289039998769e+18
431,smartphone,681.9,pedometer,993,1.5281289039998769e+18
432,smartphone,681.9,pedometer,993,1.528128905999874e+18
433,smartphone,681.9,pedometer,993,1.528128905999874e+18
434,smartphone,684.22,pedometer,997,1.528128907999871e+18
435,smartphone,684.22,pedometer,997,1.528128907999871e+18
436,smartphone,687.7,pedometer,1003,1.5281289099998697e+18
437,smartphone,687.7,pedometer,1003,1.5281289099998697e+18
438,smartphone,687.7,pedometer,1003,1.528128911999868e+18
439,smartphone,690.02,pedometer,1007,1.528128911999868e+18
440,smartphone,690.02,pedometer,1007,1.528128913999865e+18
441,smartphone,693.44,pedometer,1013,1.528128913999865e+18
442,smartphone,693.44,pedometer,1013,1.528128915999863e+18
443,smartphone,693.44,pedometer,1013,1.528128915999863e+18
444,smartphone,695.72,pedometer,1017,1.528128917999861e+18
